"PAMOJA DISPENSARY
P.O.Box 2565 , NGARAMTONI ARUSHA 
TEL:+255762219835                                       "
2019-01-01," TO ",2019-02-01
"ALL OPD AND IPD"
"ALL CUSTOMERS"
Date,LAB,DRUGS,XRAY,DENTAL,EYE,"MINOR PROC","MAJOR PROC","CONS AND SERVICES",SUPPLIES,"SUPPLIES LAB.",Total
01.01.2019,0,0,0,0,0,0,0,0,0,0,0
02.01.2019,0,0,0,0,0,0,0,0,0,0,0
03.01.2019,0,0,0,0,0,0,0,0,0,0,0
04.01.2019,0,0,0,0,0,0,0,0,0,0,0
05.01.2019,0,0,0,0,0,0,0,0,0,0,0
06.01.2019,0,0,0,0,0,0,0,0,0,0,0
07.01.2019,0,0,0,0,0,0,0,0,0,0,0
08.01.2019,0,0,0,0,0,0,0,0,0,0,0
09.01.2019,0,0,0,0,0,0,0,0,0,0,0
10.01.2019,0,0,0,0,0,0,0,0,0,0,0
11.01.2019,0,0,0,0,0,0,0,0,0,0,0
12.01.2019,0,0,0,0,0,0,0,0,0,0,0
13.01.2019,0,0,0,0,0,0,0,0,0,0,0
14.01.2019,0,0,0,0,0,0,0,0,0,0,0
15.01.2019,0,0,0,0,0,0,0,0,0,0,0
16.01.2019,0,0,0,0,0,0,0,0,0,0,0
17.01.2019,0,0,0,0,0,0,0,0,0,0,0
18.01.2019,0,0,0,0,0,0,0,0,0,0,0
19.01.2019,0,0,0,0,0,0,0,0,0,0,0
20.01.2019,0,0,0,0,0,0,0,0,0,0,0
21.01.2019,0,0,0,0,0,0,0,"93,000",0,0,93000
22.01.2019,0,0,0,0,0,0,0,"59,000",0,0,59000
23.01.2019,"168,500","102,250","60,000",0,0,0,0,"77,000",0,0,407750
24.01.2019,"210,500","57,700","10,000",0,0,0,0,"93,000",0,0,371200
25.01.2019,"80,500","81,200",0,0,0,0,0,"44,000",0,0,205700
26.01.2019,"50,000","11,200",0,0,0,0,0,"30,000",0,0,91200
27.01.2019,0,0,0,0,0,0,0,0,0,0,0
28.01.2019,"123,500","159,500","40,000",0,0,0,0,"70,000",0,0,393000
29.01.2019,"15,000","32,600",0,0,0,0,0,"14,000",0,0,61600
30.01.2019,"12,000",0,0,0,0,0,0,0,0,0,12000
31.01.2019,"18,000",0,"20,000",0,0,0,0,"5,000",0,0,43000
01.02.2019,0,0,0,0,0,0,0,0,0,0,0
TOTAL,678000,444450,130000,0,0,0,0,485000,0,0,1737450
